Y1,Y2,Y3,Z1,Z2,Z3,Z4
16.294,6.572,3.017,-0.694,1.515,81.988,0.998
16.441,6.315,2.997,-0.605,2.845,84.554,1.008
16.74,6.168,3.201,-0.154,35.917,29.346,1.033
17.163,7.086,3.396,-0.415,3.018,5.855,1.033
18.441,6.652,3.946,-0.672,3.448,76.878,1.02
18.589,6.531,3.989,-0.149,30.658,35.73,1.033
18.72,6.455,4.072,-0.188,28.027,39.243,1.042
18.769,6.335,4.089,0.07,40.893,21.473,1.049
19.06,6.447,4.246,-0.247,28.375,41.364,1.044
19.195,6.213,4.3,-0.193,34.491,25.519,1.047
19.323,6.55,4.404,-0.109,27.749,38.538,1.036
19.346,6.572,4.358,-0.242,23.889,49.08,1.042
19.422,6.615,4.382,-0.271,29.415,33.775,1.033
19.813,6.775,4.604,-0.232,26.492,40.939,1.042
20.136,6.725,4.723,-0.154,29.622,32.385,1.057
20.289,7.719,4.866,-0.559,2.054,8.786,1.081
20.289,7.437,4.859,-0.324,17.639,28.934,1.07
21.115,7.913,6.557,0.397,58.429,1.147,1.129
21.183,7.156,5.388,-0.188,51.898,19.209,1.064
21.39,7.475,5.294,0.558,63.035,-0.391,1.113
21.875,7.336,5.762,-0.173,48.436,26.88,1.065
22.095,7.447,5.79,-0.227,47.254,29.346,1.066
23.113,7.288,6.329,0.131,46.266,23.893,1.076
23.438,7.65,6.457,0.126,54.559,11.293,1.089
23.695,7.46,6.567,0.131,46.53,18.284,1.069
23.699,7.593,6.609,0.151,43.887,33.775,1.082
23.846,7.639,6.615,0.09,48.632,13.977,1.07
24.17,7.766,6.846,0.156,45.673,29.622,1.07
24.174,7.877,6.826,0.055,45.475,21.072,1.076
24.197,7.794,6.833,0.131,49.025,17.494,1.088
24.303,7.775,6.861,0.207,48.894,23.219,1.081
24.42,7.874,6.999,0.243,51.638,15.922,1.099
24.56,7.854,7.02,0.217,53.458,0.511,1.122
24.741,7.996,7.152,0.07,49.287,23.354,1.092
25.166,7.913,7.211,0.314,56.627,2.925,1.118
25.209,7.955,7.296,0.136,50.333,17.888,1.095
25.288,8.034,7.406,0.34,58.686,9.159,1.101
25.444,8.045,7.477,0.176,44.218,26.88,1.09
25.674,8.208,7.534,0.202,56.111,0.407,1.104
25.93,8.1,7.669,0.273,53.847,2.023,1.111
26.119,8.222,7.771,0.08,49.025,27.7,1.097
26.194,8.454,7.816,0.289,56.755,0.407,1.113
